geo,year,freq,sex,unit,TIME_PERIOD,values,time,week,y2020,pop,death.rate,cntry
AL,2015,W,T,NR,2015-W01,331,2015-W01,1,Y<2020,2885796,114.699722364297,Albania
AL,2015,W,T,NR,2015-W02,584,2015-W02,2,Y<2020,2885796,202.370507132174,Albania
AL,2015,W,T,NR,2015-W03,493,2015-W03,3,Y<2020,2885796,170.836746603017,Albania
AL,2015,W,T,NR,2015-W04,635,2015-W04,4,Y<2020,2885796,220.043274022142,Albania
AL,2015,W,T,NR,2015-W05,542,2015-W05,5,Y<2020,2885796,187.816463811025,Albania
AL,2015,W,T,NR,2015-W06,530,2015-W06,6,Y<2020,2885796,183.658165719268,Albania
AL,2015,W,T,NR,2015-W07,489,2015-W07,7,Y<2020,2885796,169.450647239098,Albania
AL,2015,W,T,NR,2015-W08,534,2015-W08,8,Y<2020,2885796,185.044265083187,Albania
AL,2015,W,T,NR,2015-W09,581,2015-W09,9,Y<2020,2885796,201.330932609235,Albania
AL,2015,W,T,NR,2015-W10,479,2015-W10,10,Y<2020,2885796,165.985398829301,Albania
AL,2015,W,T,NR,2015-W11,444,2015-W11,11,Y<2020,2885796,153.857029395009,Albania
AL,2015,W,T,NR,2015-W12,460,2015-W12,12,Y<2020,2885796,159.401426850685,Albania
AL,2015,W,T,NR,2015-W13,460,2015-W13,13,Y<2020,2885796,159.401426850685,Albania
AL,2015,W,T,NR,2015-W14,417,2015-W14,14,Y<2020,2885796,144.500858688556,Albania
AL,2015,W,T,NR,2015-W15,446,2015-W15,15,Y<2020,2885796,154.550079076969,Albania
AL,2015,W,T,NR,2015-W16,454,2015-W16,16,Y<2020,2885796,157.322277804807,Albania
AL,2015,W,T,NR,2015-W17,477,2015-W17,17,Y<2020,2885796,165.292349147341,Albania
AL,2015,W,T,NR,2015-W18,400,2015-W18,18,Y<2020,2885796,138.6099363919,Albania
AL,2015,W,T,NR,2015-W19,415,2015-W19,19,Y<2020,2885796,143.807809006596,Albania
AL,2015,W,T,NR,2015-W20,377,2015-W20,20,Y<2020,2885796,130.639865049366,Albania
AL,2015,W,T,NR,2015-W21,395,2015-W21,21,Y<2020,2885796,136.877312187001,Albania
AL,2015,W,T,NR,2015-W22,352,2015-W22,22,Y<2020,2885796,121.976744024872,Albania
AL,2015,W,T,NR,2015-W23,396,2015-W23,23,Y<2020,2885796,137.223837027981,Albania
AL,2015,W,T,NR,2015-W24,349,2015-W24,24,Y<2020,2885796,120.937169501933,Albania
AL,2015,W,T,NR,2015-W25,373,2015-W25,25,Y<2020,2885796,129.253765685447,Albania
AL,2015,W,T,NR,2015-W26,347,2015-W26,26,Y<2020,2885796,120.244119819973,Albania
AL,2015,W,T,NR,2015-W27,363,2015-W27,27,Y<2020,2885796,125.788517275649,Albania
AL,2015,W,T,NR,2015-W28,368,2015-W28,28,Y<2020,2885796,127.521141480548,Albania
AL,2015,W,T,NR,2015-W29,419,2015-W29,29,Y<2020,2885796,145.193908370515,Albania
AL,2015,W,T,NR,2015-W30,601,2015-W30,30,Y<2020,2885796,208.26142942883,Albania
AL,2015,W,T,NR,2015-W31,473,2015-W31,31,Y<2020,2885796,163.906249783422,Albania
AL,2015,W,T,NR,2015-W32,379,2015-W32,32,Y<2020,2885796,131.332914731325,Albania
AL,2015,W,T,NR,2015-W33,374,2015-W33,33,Y<2020,2885796,129.600290526427,Albania
AL,2015,W,T,NR,2015-W34,357,2015-W34,34,Y<2020,2885796,123.709368229771,Albania
AL,2015,W,T,NR,2015-W35,402,2015-W35,35,Y<2020,2885796,139.30298607386,Albania
AL,2015,W,T,NR,2015-W36,372,2015-W36,36,Y<2020,2885796,128.907240844467,Albania
AL,2015,W,T,NR,2015-W37,378,2015-W37,37,Y<2020,2885796,130.986389890346,Albania
AL,2015,W,T,NR,2015-W38,366,2015-W38,38,Y<2020,2885796,126.828091798589,Albania
AL,2015,W,T,NR,2015-W39,333,2015-W39,39,Y<2020,2885796,115.392772046257,Albania
AL,2015,W,T,NR,2015-W40,395,2015-W40,40,Y<2020,2885796,136.877312187001,Albania
AL,2015,W,T,NR,2015-W41,345,2015-W41,41,Y<2020,2885796,119.551070138014,Albania
AL,2015,W,T,NR,2015-W42,326,2015-W42,42,Y<2020,2885796,112.967098159399,Albania
AL,2015,W,T,NR,2015-W43,390,2015-W43,43,Y<2020,2885796,135.144687982103,Albania
AL,2015,W,T,NR,2015-W44,334,2015-W44,44,Y<2020,2885796,115.739296887237,Albania
AL,2015,W,T,NR,2015-W45,399,2015-W45,45,Y<2020,2885796,138.26341155092,Albania
AL,2015,W,T,NR,2015-W46,401,2015-W46,46,Y<2020,2885796,138.95646123288,Albania
AL,2015,W,T,NR,2015-W47,419,2015-W47,47,Y<2020,2885796,145.193908370515,Albania
AL,2015,W,T,NR,2015-W48,401,2015-W48,48,Y<2020,2885796,138.95646123288,Albania
AL,2015,W,T,NR,2015-W49,422,2015-W49,49,Y<2020,2885796,146.233482893455,Albania
AL,2015,W,T,NR,2015-W50,428,2015-W50,50,Y<2020,2885796,148.312631939333,Albania
AL,2015,W,T,NR,2015-W51,452,2015-W51,51,Y<2020,2885796,156.629228122847,Albania
AL,2015,W,T,NR,2015-W52,436,2015-W52,52,Y<2020,2885796,151.084830667171,Albania
AL,2015,W,T,NR,2015-W53,500,2015-W53,53,Y<2020,2885796,173.262420489875,Albania
AL,2016,W,T,NR,2016-W01,521,2016-W01,1,Y<2020,2875592,181.180083961842,Albania
AL,2016,W,T,NR,2016-W02,443,2016-W02,2,Y<2020,2875592,154.055234539531,Albania
AL,2016,W,T,NR,2016-W03,485,2016-W03,3,Y<2020,2875592,168.660922690006,Albania
AL,2016,W,T,NR,2016-W04,441,2016-W04,4,Y<2020,2875592,153.359725579985,Albania
AL,2016,W,T,NR,2016-W05,484,2016-W05,5,Y<2020,2875592,168.313168210233,Albania
AL,2016,W,T,NR,2016-W06,444,2016-W06,6,Y<2020,2875592,154.402989019305,Albania
AL,2016,W,T,NR,2016-W07,471,2016-W07,7,Y<2020,2875592,163.792359973181,Albania
AL,2016,W,T,NR,2016-W08,428,2016-W08,8,Y<2020,2875592,148.838917342933,Albania
AL,2016,W,T,NR,2016-W09,469,2016-W09,9,Y<2020,2875592,163.096851013635,Albania
AL,2016,W,T,NR,2016-W10,413,2016-W10,10,Y<2020,2875592,143.622600146335,Albania
AL,2016,W,T,NR,2016-W11,414,2016-W11,11,Y<2020,2875592,143.970354626108,Albania
AL,2016,W,T,NR,2016-W12,457,2016-W12,12,Y<2020,2875592,158.923797256356,Albania
AL,2016,W,T,NR,2016-W13,404,2016-W13,13,Y<2020,2875592,140.492809828376,Albania
AL,2016,W,T,NR,2016-W14,401,2016-W14,14,Y<2020,2875592,139.449546389057,Albania
AL,2016,W,T,NR,2016-W15,380,2016-W15,15,Y<2020,2875592,132.146702313819,Albania
AL,2016,W,T,NR,2016-W16,403,2016-W16,16,Y<2020,2875592,140.145055348603,Albania
AL,2016,W,T,NR,2016-W17,357,2016-W17,17,Y<2020,2875592,124.148349279035,Albania
AL,2016,W,T,NR,2016-W18,429,2016-W18,18,Y<2020,2875592,149.186671822706,Albania
AL,2016,W,T,NR,2016-W19,372,2016-W19,19,Y<2020,2875592,129.364666475634,Albania
AL,2016,W,T,NR,2016-W20,360,2016-W20,20,Y<2020,2875592,125.191612718355,Albania
AL,2016,W,T,NR,2016-W21,374,2016-W21,21,Y<2020,2875592,130.06017543518,Albania
AL,2016,W,T,NR,2016-W22,389,2016-W22,22,Y<2020,2875592,135.276492631778,Albania
AL,2016,W,T,NR,2016-W23,354,2016-W23,23,Y<2020,2875592,123.105085839716,Albania
AL,2016,W,T,NR,2016-W24,332,2016-W24,24,Y<2020,2875592,115.454487284705,Albania
AL,2016,W,T,NR,2016-W25,475,2016-W25,25,Y<2020,2875592,165.183377892274,Albania
AL,2016,W,T,NR,2016-W26,394,2016-W26,26,Y<2020,2875592,137.015265030644,Albania
AL,2016,W,T,NR,2016-W27,368,2016-W27,27,Y<2020,2875592,127.973648556541,Albania
AL,2016,W,T,NR,2016-W28,375,2016-W28,28,Y<2020,2875592,130.407929914953,Albania
AL,2016,W,T,NR,2016-W29,380,2016-W29,29,Y<2020,2875592,132.146702313819,Albania
AL,2016,W,T,NR,2016-W30,377,2016-W30,30,Y<2020,2875592,131.1034388745,Albania
AL,2016,W,T,NR,2016-W31,386,2016-W31,31,Y<2020,2875592,134.233229192458,Albania
AL,2016,W,T,NR,2016-W32,316,2016-W32,32,Y<2020,2875592,109.890415608334,Albania
AL,2016,W,T,NR,2016-W33,372,2016-W33,33,Y<2020,2875592,129.364666475634,Albania
AL,2016,W,T,NR,2016-W34,356,2016-W34,34,Y<2020,2875592,123.800594799262,Albania
AL,2016,W,T,NR,2016-W35,370,2016-W35,35,Y<2020,2875592,128.669157516087,Albania
AL,2016,W,T,NR,2016-W36,320,2016-W36,36,Y<2020,2875592,111.281433527427,Albania
AL,2016,W,T,NR,2016-W37,339,2016-W37,37,Y<2020,2875592,117.888768643118,Albania
AL,2016,W,T,NR,2016-W38,340,2016-W38,38,Y<2020,2875592,118.236523122891,Albania
AL,2016,W,T,NR,2016-W39,357,2016-W39,39,Y<2020,2875592,124.148349279035,Albania
AL,2016,W,T,NR,2016-W40,377,2016-W40,40,Y<2020,2875592,131.1034388745,Albania
AL,2016,W,T,NR,2016-W41,360,2016-W41,41,Y<2020,2875592,125.191612718355,Albania
AL,2016,W,T,NR,2016-W42,425,2016-W42,42,Y<2020,2875592,147.795653903614,Albania
AL,2016,W,T,NR,2016-W43,403,2016-W43,43,Y<2020,2875592,140.145055348603,Albania
AL,2016,W,T,NR,2016-W44,445,2016-W44,44,Y<2020,2875592,154.750743499078,Albania
AL,2016,W,T,NR,2016-W45,412,2016-W45,45,Y<2020,2875592,143.274845666562,Albania
AL,2016,W,T,NR,2016-W46,432,2016-W46,46,Y<2020,2875592,150.229935262026,Albania
AL,2016,W,T,NR,2016-W47,440,2016-W47,47,Y<2020,2875592,153.011971100212,Albania
AL,2016,W,T,NR,2016-W48,469,2016-W48,48,Y<2020,2875592,163.096851013635,Albania
AL,2016,W,T,NR,2016-W49,469,2016-W49,49,Y<2020,2875592,163.096851013635,Albania
AL,2016,W,T,NR,2016-W50,454,2016-W50,50,Y<2020,2875592,157.880533817037,Albania
AL,2016,W,T,NR,2016-W51,567,2016-W51,51,Y<2020,2875592,197.176790031409,Albania
AL,2016,W,T,NR,2016-W52,514,2016-W52,52,Y<2020,2875592,178.745802603429,Albania
AL,2017,W,T,NR,2017-W01,794,2017-W01,1,Y<2020,2876591,276.021165330768,Albania
AL,2017,W,T,NR,2017-W02,798,2017-W02,2,Y<2020,2876591,277.411700168707,Albania
